strategy,date,status,Return [%],Buy & Hold Return [%],Return (Ann.) [%],Sharpe Ratio,Sortino Ratio,Max. Drawdown [%],Win Rate [%],# Trades,Profit Factor,Expectancy [%],Avg. Trade [%],Calmar Ratio,Equity Final [$],Equity Peak [$],Avg. Trade Duration,Max. Trade Duration,file,error
VolatilitySurge,04_16_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 162, in I |     raise ValueError( | ValueError: Indicators must return (optionally a tuple of) numpy.arrays of same length as `data` (data shape: (110677,); indicator ""vwap(H,L,C,V)"" shape: , returned value: None)"
VolatilityThreshold,04_16_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""ATR_10th"" error. See traceback above."
DynamicTrendSync,04_18_2025,SUCCESS,-23.42585,304.68647,-8.10235,-2.34749,-2.46728,-23.76728,34.92063,126,0.41872,-0.34922,-0.35518,-0.3409,765741.51428,1002488.75434,0 days 07:10:00,2 days 08:30:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_18_2025/backtests_final/DynamicTrendSync_BTFinal.py,
LiquidationDivergence,04_18_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmpojte7jhw.py"", line 70 |     f""Entry: {self.data.Close[-1]:.2f} | "" | IndentationError: unexpected indent"
VolatilitySqueeze,04_18_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmpaphvsrr8.py"", line 76 |     f""Size: {position_size:,} @ {entry_price:.2f} | "" | IndentationError: unexpected indent"
VolumetricCross,04_18_2025,SUCCESS,-21.30846,304.68647,-7.30541,-2.64021,-2.56379,-22.38547,32.25806,93,0.21838,-0.50817,-0.51412,-0.32635,786915.35756,1000000.0,0 days 06:31:00,2 days 00:00:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_18_2025/backtests_final/VolumetricCross_BTFinal.py,
BandwidthBreakout,04_20_2025,SUCCESS,0.0,119.58162,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_20_2025/backtests_final/BandwidthBreakout_BTFinal.py,
BandwidthSurge,04_20_2025,SUCCESS,-3.47301,307.45526,-1.11274,-1.07122,-1.05819,-3.54711,0.0,3,0.0,-1.44115,-1.4418,-0.3137,965269.94557,1000768.31612,0 days 02:55:00,0 days 06:15:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_20_2025/backtests_final/BandwidthSurge_BTFinal.py,
ChannelFlipMACD,04_20_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/pandas/core/indexes/base.py"", line 3819, in get_loc |     raise KeyError(key) from err | KeyError: 'datetime'"
ChannelFlowBreakout,04_20_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"    self.cmf = self.I(talib.CMF, self.data.High, self.data.Low, self.data.Close, self.data.Volume, timeperiod=self.donchian_period) |                       ^^^^^^^^^ | AttributeError: module 'talib' has no attribute 'CMF'. Did you mean: 'CMO'?"
DynamicTrendSync,04_20_2025,SUCCESS,-8.24116,304.68647,0.0,,,-8.30068,22.22222,27,0.11924,-0.46619,-0.46857,0.0,917588.43854,1000000.0,2.92593,10.0,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_20_2025/backtests_final/DynamicTrendSync_BTFinal.py,
LiquidationBreakout,04_20_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 806, in new_order |     raise ValueError( | ValueError: Long orders require: SL (28982.380653137137) < LIMIT (29276.78) < TP (29276.78)"
LiquidationClimber,04_20_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/pandas/core/indexes/base.py"", line 3819, in get_loc |     raise KeyError(key) from err | KeyError: 'liquidation'"
LiquidationPulse,04_20_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 162, in I |     raise ValueError( | ValueError: Indicators must return (optionally a tuple of) numpy.arrays of same length as `data` (data shape: (110677,); indicator ""median(STDDEV(C,…,2880)"" shape: , returned value: None)"
SqueezeBreakoutForce,04_20_2025,SUCCESS,-0.67589,307.45526,0.0,,,-1.90326,0.0,1,0.0,-0.71874,-0.71874,0.0,993241.10368,1012511.78848,2.0,2.0,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_20_2025/backtests_final/SqueezeBreakoutForce_BTFinal.py,
VolatilitySqueezeAdaptive,04_20_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""λ(λ(λ(EMA(C…)"" error. See traceback above."
VolatilitySurgeBreakout,04_20_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,    self.equity = self._broker.starting_cash |                   ^^^^^^^^^^^^^^^^^^^^^^^^^^ | AttributeError: '_Broker' object has no attribute 'starting_cash'
VolatilitySurge,04_20_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""_calc_upp…"" error. See traceback above."
VoltaVwap,04_20_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 162, in I |     raise ValueError( | ValueError: Indicators must return (optionally a tuple of) numpy.arrays of same length as `data` (data shape: (110677,); indicator ""VWAP 🌊"" shape: , returned value: None)"
VoltaicSurge,04_20_2025,SUCCESS,0.0,308.50141,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_20_2025/backtests_final/VoltaicSurge_BTFinal.py,
BandSurgeMomentum,04_21_2025,SUCCESS,-5.22717,308.05832,-1.6852,-0.8071,-0.8806,-8.15776,18.18182,11,0.33521,-0.55037,-0.55883,-0.20658,947728.3205,1026332.3743,0 days 01:22:00,0 days 03:15:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_21_2025/backtests_final/BandSurgeMomentum_BTFinal.py,
ChaikinBreakout,04_21_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 162, in I |     raise ValueError( | ValueError: Indicators must return (optionally a tuple of) numpy.arrays of same length as `data` (data shape: (110677,); indicator ""_calculat…(H,L,C,V,20)"" shape: , returned value: None)"
ChannelFlipMACD,04_21_2025,SUCCESS,0.0,307.45526,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_21_2025/backtests_final/ChannelFlipMACD_BTFinal.py,
DonchianADXSurge,04_21_2025,SUCCESS,0.0,308.50141,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_21_2025/backtests_final/DonchianADXSurge_BTFinal.py,
DonchianADX_Breakout,04_21_2025,SUCCESS,0.0,307.45526,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_21_2025/backtests_final/DonchianADX_Breakout_BTFinal.py,
DynamicBreakoutTrail,04_21_2025,SUCCESS,0.0,308.05832,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_21_2025/backtests_final/DynamicBreakoutTrail_BTFinal.py,
LiquidationRebound,04_21_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/pandas/core/indexes/base.py"", line 3819, in get_loc |     raise KeyError(key) from err | KeyError: 'open_interest'"
MomentumSqueeze,04_21_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""Signal"" error. See traceback above."
MomentumStochastic,04_21_2025,SUCCESS,-6.69981,308.05832,-2.1714,-0.39328,-0.49432,-11.28735,47.22222,72,0.94852,-0.03754,-0.05493,-0.19237,933001.91,1012641.93,0 days 02:30:00,0 days 07:00:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_21_2025/backtests_final/MomentumStochastic_BTFinal.py,
VolSpikeReversion,04_21_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,    handle = open( |              ^^^^^ | FileNotFoundError: [Errno 2] No such file or directory: '/Users/md/Dropbox/dev/github/moon-dev-ai-agents-for-trading//Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/BTC-USD-15m.csv'
VolSqueezeBreakout,04_21_2025,SUCCESS,0.0,136.22485,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_21_2025/backtests_final/VolSqueezeBreakout_BTFinal.py,
VolatilityDivergence,04_21_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 811, in new_order |     raise ValueError( | ValueError: Short orders require: TP (22642.375868752286) < LIMIT (22622.05) < SL (22975.475734588763)"
VolumetricBreakout,04_21_2025,SUCCESS,0.0,308.46729,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_21_2025/backtests_final/VolumetricBreakout_BTFinal.py,
