strategy,date,status,Return [%],Buy & Hold Return [%],Return (Ann.) [%],Sharpe Ratio,Sortino Ratio,Max. Drawdown [%],Win Rate [%],# Trades,Profit Factor,Expectancy [%],Avg. Trade [%],Calmar Ratio,Equity Final [$],Equity Peak [$],Avg. Trade Duration,Max. Trade Duration,file,error
BandShiftTrail,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""UpperBand"" error. See traceback above."
BandwidthMomentum,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmp1x0l2ks_.py"", line 49 |     f""Size: {position_size} | SL: {stop_loss:.2f} �"") | IndentationError: unexpected indent"
BearishBreakout,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 811, in new_order |     raise ValueError( | ValueError: Short orders require: TP (16657.050000000003) < LIMIT (16697.25) < SL (16677.15)"
ContrarianEarnings,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""MAX(Earnings_…,1)"" error. See traceback above."
MomentumBreakout,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmp1s9362zi.py"", line 48 |     f""Resistance: {self.resistance[-1]:.1f} | MA: {ma_value:.1f} | "" | IndentationError: unexpected indent"
MomentumCrossReversal,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmpflk6nl6w.py"", line 60 |     f""Entry: {price:.2f} | SL: {stop_loss:.2f} | TP: {take_profit:.2f}"") | IndentationError: unexpected indent"
OpenInterestPut,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmplkw1rhks.py"", line 22, in <module> |     raise ValueError(""🌙✨ MOON DEV ERROR: 'open_interest' column not found in data!"") | ValueError: 🌙✨ MOON DEV ERROR: 'open_interest' column not found in data!"
RangeBoundPut,03_13_2025,SUCCESS,14.69576,304.68647,4.4361,0.96288,1.55878,-5.11124,82.85714,35,2.2741,4.44696,3.74554,0.86791,1146957.60612,1198893.53425,31 days 20:01:00,192 days 15:45:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_13_2025/backtests_final/RangeBoundPut_BTFinal.py,
VolatilityArbitrage,03_13_2025,SUCCESS,-93.63001,307.59158,0.0,,,-93.68549,28.91374,626,0.43121,-0.51458,-0.52622,0.0,63699.92199,1000000.0,17.64856,100.0,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_13_2025/backtests_final/VolatilityArbitrage_BTFinal.py,
VolumetricBreakout,03_13_2025,SUCCESS,0.0,308.50141,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_13_2025/backtests_final/VolumetricBreakout_BTFinal.py,
BandSqueezeTrend,03_14_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmp8jty85k2.py"", line 49 |     f""\nEntry: {current_close:.2f}"" | IndentationError: unexpected indent"
BandedMACD,03_14_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""Upper BB"" error. See traceback above."
DivergentMomentum,03_14_2025,SUCCESS,0.0,307.45526,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_14_2025/backtests_final/DivergentMomentum_BTFinal.py,
EuroSpreadScalper,03_14_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 811, in new_order |     raise ValueError( | ValueError: Short orders require: TP (18010.40545) < LIMIT (18100.91) < SL (18010.40545)"
InverseMidpoint,03_14_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""PrevOpen"" error. See traceback above."
LiquidityArbitrage,03_14_2025,SUCCESS,0.0,308.50141,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_14_2025/backtests_final/LiquidityArbitrage_BTFinal.py,
VIXContraMomentum,03_14_2025,SUCCESS,-8.5174,308.50141,-2.77877,-0.22833,-0.26624,-29.10965,39.42308,104,0.95342,-0.06429,-0.10373,-0.09546,914825.97078,1244172.59252,0 days 07:49:00,3 days 12:45:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_14_2025/backtests_final/VIXContraMomentum_BTFinal.py,
VolatilityHarvester,03_14_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmp1ev4d1hi.py"", line 72 |     f""Price: {price:.2f} | SL: {self.stop_loss:.2f} | TP: {self.take_profit:.2f}"") | IndentationError: unexpected indent"
VolatilityMomentum,03_14_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmpq73uii9h.py"", line 49 |     f""Price: {current_close:.2f} | "" | IndentationError: unexpected indent"
ATRRatioReversal,03_15_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmp06fjetwi.py"", line 53 |     f""Entry: {price:.2f} | SL: {sl_price:.2f} | TP: {tp_price:.2f}"") | IndentationError: unexpected indent"
BandBreakoutATR,03_15_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""BB_UPPER"" error. See traceback above."
BandMomentum,03_15_2025,SUCCESS,0.0,307.63614,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_15_2025/backtests_final/BandMomentum_BTFinal.py,
ClusterBreakout,03_15_2025,SUCCESS,0.0,307.45526,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_15_2025/backtests_final/ClusterBreakout_BTFinal.py,
CrossVolatility,03_15_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmpw9pwiu8g.py"", line 47 |     f""Entry: {entry_price:.2f} | "" | IndentationError: unexpected indent"
DeltaHedgedReversal,03_15_2025,SUCCESS,-34.97609,308.50141,-12.73795,-2.78995,-2.49052,-34.97609,22.80702,57,0.17661,-0.84815,-0.85365,-0.36419,650239.1243,1000000.0,0 days 02:53:00,0 days 09:15:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_15_2025/backtests_final/DeltaHedgedReversal_BTFinal.py,
DivergentCloud,03_15_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""Tenkan"" error. See traceback above."
MonthlyHighLeverage,03_15_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmpa4t0dchv.py"", line 54 |     f""Size: {position_size} | Entry: {current_open}\n"" | IndentationError: unexpected indent"
RapidReversal,03_15_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,    handle = open( |              ^^^^^ | FileNotFoundError: [Errno 2] No such file or directory: 'your_data.csv'
VolatileFractal,03_15_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"    fractals = self.I(ta.fractals, self.data.High, self.data.Low) |                       ^^^^^^^^^^^ | AttributeError: module 'pandas_ta' has no attribute 'fractals'"
VolatilityHammer,03_15_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmpbk_650ah.py"", line 97 |     pass  # broken print removed | SyntaxError: expected 'except' or 'finally' block"
VolatilityMomentum,03_15_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,    entry_price = self.position.entry_price |                   ^^^^^^^^^^^^^^^^^^^^^^^^^ | AttributeError: 'Position' object has no attribute 'entry_price'
VolatilityRatioReversion,03_15_2025,SUCCESS,-93.46267,308.50141,-57.77315,-8.42636,-4.1997,-93.46267,23.46939,882,0.47842,-0.32175,-0.32657,-0.61814,65373.33026,1000000.0,0 days 02:49:00,0 days 11:45:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_15_2025/backtests_final/VolatilityRatioReversion_BTFinal.py,
VolumetricBollinger,03_15_2025,SUCCESS,103.30353,306.16841,25.18378,0.86048,1.671,-30.6722,80.0,45,1.88215,3.5921,2.80439,0.82106,2033035.29994,2734266.55132,25 days 03:00:00,207 days 19:30:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_15_2025/backtests_final/VolumetricBollinger_BTFinal.py,
YieldCurveReversal,03_15_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmpfb5516xb.py"", line 25, in <module> |     raise ValueError(f""🌑 Missing cosmic data: {col} not found in dataset! 🚨"") | ValueError: 🌑 Missing cosmic data: vix_futures_30d not found in dataset! 🚨"
BetaVolATR,03_16_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/_util.py"", line 178, in __getattr__ |     raise AttributeError(f""Column '{item}' not in data"") from None | AttributeError: Column 'columns' not in data"
DivergentVwap,03_16_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 162, in I |     raise ValueError( | ValueError: Indicators must return (optionally a tuple of) numpy.arrays of same length as `data` (data shape: (110677,); indicator ""λ"" shape: , returned value: None)"
FlowStochastic,03_16_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 162, in I |     raise ValueError( | ValueError: Indicators must return (optionally a tuple of) numpy.arrays of same length as `data` (data shape: (110677,); indicator ""CMF"" shape: , returned value: None)"
HarmonicBreakoutFilter,03_16_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmp749msle_.py"", line 67 |     f""SL: {stop_loss:.2f} | TP: {take_profit:.2f} | "" | IndentationError: unexpected indent"
RSIReversalPut,03_16_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmprt_03h67.py"", line 60 |     f""Size: {abs(order.size)} {emoji}"") | IndentationError: unexpected indent"
RangeBoundPutter,03_16_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmp_tcpfx_2.py"", line 75 |     f""\nEntry Price: {entry_price:.2f}"" | IndentationError: unexpected indent"
VolatilityDecay,03_16_2025,SUCCESS,-80.87202,298.61202,-40.76188,-2.51016,-2.04693,-82.5545,13.98601,286,0.51668,-0.57513,-0.60102,-0.49376,191279.82646,1000000.0,1 days 11:43:00,5 days 01:15:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_16_2025/backtests_final/VolatilityDecay_BTFinal.py,
VoltaicConvergence,03_16_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""KST"" error. See traceback above."
BandDivergence,03_17_2025,SUCCESS,0.0,308.46729,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_17_2025/backtests_final/BandDivergence_BTFinal.py,
BandMACDRebound,03_17_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 806, in new_order |     raise ValueError( | ValueError: Long orders require: SL (16175.527364151738) < LIMIT (16531.85) < TP (16525.479000000003)"
ContrarianMomentum,03_17_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"    self.daily_ret = self.I(lambda close: (close / close.shift(96) - 1,  # 96 periods = 1 day in 15m data |                            ^ | SyntaxError: '(' was never closed"
VolatilitySpread,03_17_2025,SUCCESS,-16.95711,308.50141,0.0,,,-20.2977,34.69388,49,0.45485,-0.47302,-0.48509,0.0,830428.90155,1018121.40909,2.22449,13.0,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_17_2025/backtests_final/VolatilitySpread_BTFinal.py,
VolatilitySurge,03_17_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,    returns = np.log(close_prices / close_prices.shift(1)).fillna(0) |                                     ^^^^^^^^^^^^^^^^^^ | AttributeError: '_Array' object has no attribute 'shift'
WaveletBreakout,03_17_2025,SUCCESS,0.0,308.50141,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_17_2025/backtests_final/WaveletBreakout_BTFinal.py,
ReversalMomentum,03_18_2025,SUCCESS,-9.80233,304.68647,-3.21314,-0.95938,-1.30349,-13.01026,14.81481,27,0.4309,-0.53472,-0.5478,-0.24697,901976.71,1004457.76,0 days 13:04:00,2 days 02:00:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_18_2025/backtests_final/ReversalMomentum_BTFinal.py,
VolatilityFade,03_18_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 162, in I |     raise ValueError( | ValueError: Indicators must return (optionally a tuple of) numpy.arrays of same length as `data` (data shape: (110677,); indicator ""VWAP_4H"" shape: , returned value: None)"
VolumeSurgeReversal,03_18_2025,SUCCESS,-7.02083,308.1094,-2.27808,-0.28545,-0.42895,-13.68057,37.86408,103,0.90146,-0.07004,-0.08665,-0.16652,929791.69,1010030.29,0 days 04:03:00,0 days 17:15:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_18_2025/backtests_final/VolumeSurgeReversal_BTFinal.py,
VolumetricBreakout,03_18_2025,SUCCESS,-2.05997,308.50141,-0.65676,-0.76743,-0.76215,-2.58244,0.0,2,0.0,-1.11686,-1.11735,-0.25432,979400.3313,1005363.1824,0 days 02:45:00,0 days 04:15:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_18_2025/backtests_final/VolumetricBreakout_BTFinal.py,
MomentumCrossADX,03_19_2025,SUCCESS,-21.46909,304.68647,-7.36535,-3.64685,-3.42932,-21.70013,19.81132,106,0.15498,-0.42912,-0.43154,-0.33941,785309.07362,1000000.0,0 days 02:48:00,1 days 01:00:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_19_2025/backtests_final/MomentumCrossADX_BTFinal.py,
ReversalPulse,03_19_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmp98_q7rq6.py"", line 79 |     print(stats._strategy) | SyntaxError: expected 'except' or 'finally' block"
VolumeSurgeEMA,03_19_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmprx_s8_ys.py"", line 27, in next |     self.position.close(tag=""RSI Exit 🌙"") | TypeError: Position.close() got an unexpected keyword argument 'tag'"
VoltaicSqueeze,03_27_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmp5izv56xa.py"", line 34 |     f""Equity: ${self.equity:,.2f}"") | IndentationError: unexpected indent"
VortexCompression,03_27_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""VI+"" error. See traceback above."
VortexMomentum,03_27_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"    self.vi_plus = self.I(lambda x: x, vortex['VIp'], name='VI+') |                                        ~~~~~~^^^^^^^ | TypeError: 'NoneType' object is not subscriptable"
LiquidationBreakout,03_28_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"    """""" |     ^ | SyntaxError: unterminated triple-quoted string literal (detected at line 90)"
LiquidityBreakout,03_28_2025,SUCCESS,0.0,308.50141,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_28_2025/backtests_final/LiquidityBreakout_BTFinal.py,
VolatilityCompression,03_28_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmpx8snek1_.py"", line 97 |     pass  # broken print removed | SyntaxError: expected 'except' or 'finally' block"
VolumetricBandwidth,03_28_2025,SUCCESS,-35.67109,306.6738,-13.0343,-3.35227,-3.69499,-35.69493,14.61538,130,0.20399,-0.37604,-0.37815,-0.36516,643289.13448,1000336.91736,0 days 01:04:00,0 days 01:15:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_28_2025/backtests_final/VolumetricBandwidth_BTFinal.py,
VolumetricBreakout,03_28_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""λ(V)"" error. See traceback above."
VortexEmergence,03_28_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,    f'of arrays the indicator returns ({value.shape[0]}).') |                                         ^^^^^^^^^^^ | AttributeError: 'NoneType' object has no attribute 'shape'
KeltnerContrarian,03_31_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmpep2q7ffs.py"", line 69 |     f""SL: {stop_loss:.2f} | TP: {take_profit:.2f} | "" | IndentationError: unexpected indent"
VolatilityRebound,03_31_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"    assert 'fundingrate' in data.columns, ""❌ Missing funding rate column - Moon Dev data validation failed"" |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError: ❌ Missing funding rate column - Moon Dev data validation failed"
VolatilityThreshold,03_31_2025,SUCCESS,-9.55613,303.47731,-3.12959,-1.15015,-1.17996,-9.66198,20.83333,24,0.34207,-0.4767,-0.48184,-0.32391,904438.70794,1000000.0,0 days 03:54:00,0 days 14:00:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_31_2025/backtests_final/VolatilityThreshold_BTFinal.py,
DivergentVolumetric,04_01_2025,SUCCESS,-1.94475,307.70189,-0.61978,-0.73201,-0.76629,-2.55829,25.0,4,0.37826,-0.46204,-0.46714,-0.24226,980552.46,1006296.46,0 days 07:34:00,0 days 23:30:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_01_2025/backtests_final/DivergentVolumetric_BTFinal.py,
LiquidationRebound,04_01_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"    """""" |     ^ | SyntaxError: unterminated triple-quoted string literal (detected at line 100)"
VoltaicAccumulation,04_01_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 162, in I |     raise ValueError( | ValueError: Indicators must return (optionally a tuple of) numpy.arrays of same length as `data` (data shape: (110677,); indicator ""cmf(H,L,C,V,20)"" shape: , returned value: None)"
ChannelAccelBreakout,04_02_2025,SUCCESS,0.0,308.50141,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_02_2025/backtests_final/ChannelAccelBreakout_BTFinal.py,
DeltaDonchianBreakout,04_02_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,    delta_dir = (close > close.shift(1)).astype(int)*2 - 1 |                          ^^^^^^^^^^^ | AttributeError: '_Array' object has no attribute 'shift'
EfficientBreakout,04_02_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"    self.ker = self.I(ta.efficiency_ratio, self.data.Close, length=10) |                       ^^^^^^^^^^^^^^^^^^^ | AttributeError: module 'pandas_ta' has no attribute 'efficiency_ratio'"
LiquidityDivergence,04_02_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/_util.py"", line 178, in __getattr__ |     raise AttributeError(f""Column '{item}' not in data"") from None | AttributeError: Column 'obi' not in data"
VolatilityBreakout,04_02_2025,SUCCESS,-5.82001,304.68647,-1.8803,-1.07957,-1.12907,-5.82001,45.45455,11,0.24058,-0.72161,-0.72799,-0.32308,941799.88679,1000000.0,0 days 08:51:00,2 days 03:30:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_02_2025/backtests_final/VolatilityBreakout_BTFinal.py,
VolatilityReversal,04_02_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmpccw8glub.py"", line 75 |     f""| Size: {position_size} ✨"" | IndentationError: unexpected indent"
VolatilityThreshold,04_02_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""atr_perce…(ATR(H,L,C…)"" error. See traceback above."
VoltaSqueeze,04_02_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 1225, in __init__ |     raise ValueError(""`data` must be a pandas.DataFrame with columns "" | ValueError: `data` must be a pandas.DataFrame with columns 'Open', 'High', 'Low', 'Close', and (optionally) 'Volume'"
VolatilityPulse,04_04_2025,NO_STATS,,,,,,,,,,,,,,,,,,Ran but no stats parsed
FisherBandConvergence,04_05_2025,NO_STATS,,,,,,,,,,,,,,,,,,Ran but no stats parsed
