entry_time,entry_price,exit_time,exit_price,pnl_usd,pnl_pct,reason,size_usd
2026-02-24 15:00:00,63957.0,2026-02-25 01:00:00,65662.51999999999,320.0,8.0,TP,12000.0
2026-02-25 02:00:00,65854.0,2026-02-25 03:00:00,65356.0,-93.65,-2.27,SIGNAL,12384.0
2026-02-25 04:00:00,65427.0,2026-02-25 05:00:00,64851.0,-108.04,-2.64,SIGNAL,12271.62
2026-02-25 08:00:00,65494.0,2026-02-25 10:00:00,65371.0,-22.8,-0.56,SIGNAL,12141.98
2026-02-25 12:00:00,66040.0,2026-02-25 16:00:00,67801.06666666667,323.06,8.0,TP,12114.61
2026-02-25 17:00:00,68624.0,2026-02-25 19:00:00,68994.0,67.41,1.62,SIGNAL,12502.28
2026-02-25 20:00:00,69096.0,2026-02-25 21:00:00,68881.0,-39.15,-0.93,SIGNAL,12583.17
2026-02-27 05:00:00,67690.0,2026-02-27 09:00:00,67337.0,-65.38,-1.56,SIGNAL,12536.19
